rank,lemma,pos,total_count,doc_frequency,is_stopword,is_proper_noun
16634,Rice,PROPN,2,2,0,1
16635,monopoly,NOUN,2,2,0,0
16636,instance,VERB,2,2,0,0
16637,misrepresentation,NOUN,2,2,0,0
16638,Ibsen,PROPN,2,2,0,1
16639,Bernard,PROPN,2,2,0,1
16640,Shaw,PROPN,2,2,0,1
16641,heartedness,NOUN,2,2,0,0
16642,degeneracy,NOUN,2,2,0,0
16643,defective,NOUN,2,2,0,0
16644,Utopia,PROPN,2,2,0,1
16645,plotting,NOUN,2,2,0,0
16646,remarking,NOUN,2,2,0,0
16647,fetish,NOUN,2,2,0,0
16648,embroil,VERB,2,2,0,0
16649,barometer,NOUN,2,2,0,0
16650,underrate,VERB,2,2,0,0
16651,nest,VERB,2,2,0,0
16652,canopy,NOUN,2,2,0,0
16653,riddle,VERB,2,2,0,0
16654,lullaby,NOUN,2,2,0,0
16655,bungalow,ADJ,2,2,0,0
16656,bigamy,NOUN,2,2,0,0
16657,leaven,VERB,2,2,0,0
16658,tasting,NOUN,2,2,0,0
16659,scraping,NOUN,2,2,0,0
16660,coil,VERB,2,2,0,0
16661,ashame,VERB,2,2,0,0
16662,recline,VERB,2,2,0,0
16663,witchcraft,NOUN,2,2,0,0
16664,acrid,NOUN,2,2,0,0
16665,lifeless,NOUN,2,2,0,0
16666,disreputable,ADJ,2,2,0,0
16667,festoon,VERB,2,2,0,0
16668,spidery,NOUN,2,2,0,0
16669,hearten,VERB,2,2,0,0
16670,buttress,VERB,2,2,0,0
16671,jade,NOUN,2,2,0,0
16672,greenish,NOUN,2,2,0,0
16673,thatch,NOUN,2,2,0,0
16674,roost,VERB,2,2,0,0
16675,pariah,NOUN,2,2,0,0
16676,vulcanite,ADJ,2,2,0,0
16677,spineless,ADJ,2,2,0,0
16678,sandy,NOUN,2,2,0,0
16679,Nation,PROPN,2,2,0,1
16680,conker,NOUN,2,2,0,0
16681,footballer,NOUN,2,2,0,0
16682,underpaid,ADJ,2,2,0,0
16683,Smart,PROPN,2,2,0,1
16684,squall,NOUN,2,2,0,0
16685,vaporous,ADJ,2,2,0,0
16686,voraciously,ADV,2,2,0,0
16687,unenviable,ADJ,2,2,0,0
16688,unbreakable,ADJ,2,2,0,0
16689,whatever,NOUN,2,2,1,0
16690,prose,VERB,2,2,0,0
16691,swoop,VERB,2,2,0,0
16692,dumping,NOUN,2,2,0,0
16693,younger,ADV,2,2,0,0
16694,dimpled,ADJ,2,2,0,0
16695,beg,NOUN,2,2,0,0
16696,thaw,NOUN,2,2,0,0
16697,grab,NOUN,2,2,0,0
16698,overpoweringly,ADV,2,2,0,0
16699,harebell,NOUN,2,2,0,0
16700,smoothness,NOUN,2,2,0,0
16701,Baudelaire,PROPN,2,2,0,1
16702,Maupassant,PROPN,2,2,0,1
16703,Alsatia,PROPN,2,2,0,1
16704,yokel,NOUN,2,2,0,0
16705,nostalgia,NOUN,2,2,0,0
16706,chintz,ADJ,2,2,0,0
16707,baked,ADJ,2,2,0,0
16708,exile,VERB,2,2,0,0
16709,subtilize,VERB,2,2,0,0
16710,Sketch,PROPN,2,2,0,1
16711,Sporting,PROPN,2,2,0,1
16712,Hon,PROPN,2,2,0,1
16713,poisoning,NOUN,2,2,0,0
16714,porpoise,NOUN,2,2,0,0
16715,enamel,ADJ,2,2,0,0
16716,arrowhead,NOUN,2,2,0,0
16717,phrase,VERB,2,2,0,0
16718,barefoote,VERB,2,2,0,0
16719,turbane,VERB,2,2,0,0
16720,propel,VERB,2,2,0,0
16721,foam,VERB,2,2,0,0
16722,whistle,ADJ,2,2,0,0
16723,patronize,VERB,2,2,0,0
16724,providential,NOUN,2,2,0,0
16725,putrid,ADJ,2,2,0,0
16726,elephantine,NOUN,2,2,0,0
16727,cobra,NOUN,2,2,0,0
16728,tempo,NOUN,2,2,0,0
16729,brassy,ADJ,2,2,0,0
16730,gala,NOUN,2,2,0,0
16731,noose,NOUN,2,2,0,0
16732,shipload,NOUN,2,2,0,0
16733,storage,NOUN,2,2,0,0
16734,clattering,NOUN,2,2,0,0
16735,efficiently,ADV,2,2,0,0
16736,bail,NOUN,2,2,0,0
16737,rioter,NOUN,2,2,0,0
16738,nursing,NOUN,2,2,0,0
16739,mashed,ADJ,2,2,0,0
16740,Turks,PROPN,2,2,0,1
16741,cockroach,NOUN,2,2,0,0
16742,stricture,NOUN,2,2,0,0
16743,incurious,ADJ,2,2,0,0
16744,toadstool,NOUN,2,2,0,0
16745,unquenchable,ADJ,2,2,0,0
16746,sing,NOUN,2,2,0,0
16747,Mexicans,PROPN,2,2,0,1
16748,cringing,NOUN,2,2,0,0
16749,twin,VERB,2,2,0,0
16750,peacock,NOUN,2,2,0,0
16751,toed,NOUN,2,2,0,0
16752,dunce,NOUN,2,2,0,0
16753,multi,ADJ,2,2,0,0
16754,scum,PROPN,2,2,0,1
16755,dungaree,NOUN,2,2,0,0
16756,stocky,ADJ,2,2,0,0
16757,astride,ADP,2,2,0,0
16758,lobster,NOUN,2,2,0,0
16759,Kruschen,PROPN,2,2,0,1
16760,papi,ADJ,2,2,0,0
16761,mache,NOUN,2,2,0,0
16762,alligator,NOUN,2,2,0,0
16763,inaudibly,ADV,2,2,0,0
16764,blazer,NOUN,2,2,0,0
16765,smouldering,NOUN,2,2,0,0
16766,maize,NOUN,2,2,0,0
16767,bulging,NOUN,2,2,0,0
16768,orange,PROPN,2,2,0,1
16769,admiring,ADJ,2,2,0,0
16770,nape,NOUN,2,2,0,0
16771,saliva,NOUN,2,2,0,0
16772,trash,VERB,2,2,0,0
16773,overt,ADJ,2,2,0,0
